,repository_name,language
126,amazon-ads-advertiser-audience-normalization-sdk-py,Python
127,amazon-advertising-api-php-sdk,PHP
128,amazon-codeguru-profiler-for-spark,Java
129,amazon-frustration-free-setup-certification-tool,Python
130,amazon-hub-counter-api-docs,CSS
131,amazon-hub-counter-api-samples,Java
132,amazon-hub-counter-sdk-java,Java
133,amazon-hub-support,PowerShell
134,amazon-instant-access-sdk-java,Java
135,amazon-instant-access-sdk-net,C#
136,amazon-instant-access-sdk-php,PHP
137,amazon-instant-access-sdk-ruby,Ruby
138,amazon-launcher-integration-cordova-plugin,JavaScript
139,amazon-marketing-stream-examples,Python
140,amazon-mcf-plugin-for-magento-1,PHP
141,amazon-multi-token-completion,Python
142,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
143,amazon-pay-api-sdk-dotnet,C#
144,amazon-pay-api-sdk-java,Java
145,amazon-pay-api-sdk-nodejs,JavaScript
146,amazon-pay-api-sdk-php,PHP
147,amazon-pay-api-sdk-ruby,Ruby
148,amazon-pay-code-samples,PHP
149,amazon-pay-sdk-csharp,C#
150,.github,
151,ads-advanced-tools-docs,Jupyter Notebook
152,ads-pao-amznjs-gtm-server-side-template,Smarty
153,ads-pao-amznjs-gtm-template,Smarty
154,alexa-coho,JavaScript
155,alexa-skills-kit-js,
156,amazon-ads-advertiser-audience-normalization-sdk-py,Python
157,amazon-advertising-api-php-sdk,PHP
158,amazon-codeguru-profiler-for-spark,Java
159,amazon-frustration-free-setup-certification-tool,Python
160,amazon-hub-counter-api-docs,CSS
161,amazon-hub-counter-api-samples,Java
162,amazon-hub-counter-sdk-java,Java
163,amazon-hub-support,PowerShell
164,amazon-instant-access-sdk-java,Java
165,amazon-instant-access-sdk-net,C#
166,amazon-instant-access-sdk-php,PHP
167,amazon-instant-access-sdk-ruby,Ruby
168,amazon-launcher-integration-cordova-plugin,JavaScript
169,amazon-marketing-stream-examples,Python
170,amazon-mcf-plugin-for-magento-1,PHP
171,amazon-multi-token-completion,Python
172,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
173,amazon-pay-api-sdk-dotnet,C#
174,amazon-pay-api-sdk-java,Java
175,amazon-pay-api-sdk-nodejs,JavaScript
176,amazon-pay-api-sdk-php,PHP
177,amazon-pay-api-sdk-ruby,Ruby
178,amazon-pay-code-samples,PHP
179,amazon-pay-sdk-csharp,C#
180,.github,
181,ads-advanced-tools-docs,Jupyter Notebook
182,ads-pao-amznjs-gtm-server-side-template,Smarty
183,ads-pao-amznjs-gtm-template,Smarty
184,alexa-coho,JavaScript
185,alexa-skills-kit-js,
186,amazon-ads-advertiser-audience-normalization-sdk-py,Python
187,amazon-advertising-api-php-sdk,PHP
188,amazon-codeguru-profiler-for-spark,Java
189,amazon-frustration-free-setup-certification-tool,Python
190,amazon-hub-counter-api-docs,CSS
191,amazon-hub-counter-api-samples,Java
192,amazon-hub-counter-sdk-java,Java
193,amazon-hub-support,PowerShell
194,amazon-instant-access-sdk-java,Java
195,amazon-instant-access-sdk-net,C#
196,amazon-instant-access-sdk-php,PHP
197,amazon-instant-access-sdk-ruby,Ruby
198,amazon-launcher-integration-cordova-plugin,JavaScript
199,amazon-marketing-stream-examples,Python
200,amazon-mcf-plugin-for-magento-1,PHP
201,amazon-multi-token-completion,Python
202,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
203,amazon-pay-api-sdk-dotnet,C#
204,amazon-pay-api-sdk-java,Java
205,amazon-pay-api-sdk-nodejs,JavaScript
206,amazon-pay-api-sdk-php,PHP
207,amazon-pay-api-sdk-ruby,Ruby
208,amazon-pay-code-samples,PHP
209,amazon-pay-sdk-csharp,C#
210,.github,
211,ads-advanced-tools-docs,Jupyter Notebook
212,ads-pao-amznjs-gtm-server-side-template,Smarty
213,ads-pao-amznjs-gtm-template,Smarty
214,alexa-coho,JavaScript
215,alexa-skills-kit-js,
216,amazon-ads-advertiser-audience-normalization-sdk-py,Python
217,amazon-advertising-api-php-sdk,PHP
218,amazon-codeguru-profiler-for-spark,Java
219,amazon-frustration-free-setup-certification-tool,Python
220,amazon-hub-counter-api-docs,CSS
221,amazon-hub-counter-api-samples,Java
222,amazon-hub-counter-sdk-java,Java
223,amazon-hub-support,PowerShell
224,amazon-instant-access-sdk-java,Java
225,amazon-instant-access-sdk-net,C#
226,amazon-instant-access-sdk-php,PHP
227,amazon-instant-access-sdk-ruby,Ruby
228,amazon-launcher-integration-cordova-plugin,JavaScript
229,amazon-marketing-stream-examples,Python
230,amazon-mcf-plugin-for-magento-1,PHP
231,amazon-multi-token-completion,Python
232,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
233,amazon-pay-api-sdk-dotnet,C#
234,amazon-pay-api-sdk-java,Java
235,amazon-pay-api-sdk-nodejs,JavaScript
236,amazon-pay-api-sdk-php,PHP
237,amazon-pay-api-sdk-ruby,Ruby
238,amazon-pay-code-samples,PHP
239,amazon-pay-sdk-csharp,C#
240,.github,
241,ads-advanced-tools-docs,Jupyter Notebook
242,ads-pao-amznjs-gtm-server-side-template,Smarty
243,ads-pao-amznjs-gtm-template,Smarty
244,alexa-coho,JavaScript
245,alexa-skills-kit-js,
246,amazon-ads-advertiser-audience-normalization-sdk-py,Python
247,amazon-advertising-api-php-sdk,PHP
248,amazon-codeguru-profiler-for-spark,Java
249,amazon-frustration-free-setup-certification-tool,Python
250,amazon-hub-counter-api-docs,CSS
251,amazon-hub-counter-api-samples,Java
252,amazon-hub-counter-sdk-java,Java
253,amazon-hub-support,PowerShell
254,amazon-instant-access-sdk-java,Java
255,amazon-instant-access-sdk-net,C#
256,amazon-instant-access-sdk-php,PHP
257,amazon-instant-access-sdk-ruby,Ruby
258,amazon-launcher-integration-cordova-plugin,JavaScript
259,amazon-marketing-stream-examples,Python
260,amazon-mcf-plugin-for-magento-1,PHP
261,amazon-multi-token-completion,Python
262,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
263,amazon-pay-api-sdk-dotnet,C#
264,amazon-pay-api-sdk-java,Java
265,amazon-pay-api-sdk-nodejs,JavaScript
266,amazon-pay-api-sdk-php,PHP
267,amazon-pay-api-sdk-ruby,Ruby
268,amazon-pay-code-samples,PHP
269,amazon-pay-sdk-csharp,C#
270,.github,
271,ads-advanced-tools-docs,Jupyter Notebook
272,ads-pao-amznjs-gtm-server-side-template,Smarty
273,ads-pao-amznjs-gtm-template,Smarty
274,alexa-coho,JavaScript
275,alexa-skills-kit-js,
276,amazon-ads-advertiser-audience-normalization-sdk-py,Python
277,amazon-advertising-api-php-sdk,PHP
278,amazon-codeguru-profiler-for-spark,Java
279,amazon-frustration-free-setup-certification-tool,Python
280,amazon-hub-counter-api-docs,CSS
281,amazon-hub-counter-api-samples,Java
282,amazon-hub-counter-sdk-java,Java
283,amazon-hub-support,PowerShell
284,amazon-instant-access-sdk-java,Java
285,amazon-instant-access-sdk-net,C#
286,amazon-instant-access-sdk-php,PHP
287,amazon-instant-access-sdk-ruby,Ruby
288,amazon-launcher-integration-cordova-plugin,JavaScript
289,amazon-marketing-stream-examples,Python
290,amazon-mcf-plugin-for-magento-1,PHP
291,amazon-multi-token-completion,Python
292,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
293,amazon-pay-api-sdk-dotnet,C#
294,amazon-pay-api-sdk-java,Java
295,amazon-pay-api-sdk-nodejs,JavaScript
296,amazon-pay-api-sdk-php,PHP
297,amazon-pay-api-sdk-ruby,Ruby
298,amazon-pay-code-samples,PHP
299,amazon-pay-sdk-csharp,C#
300,.github,
301,ads-advanced-tools-docs,Jupyter Notebook
302,ads-pao-amznjs-gtm-server-side-template,Smarty
303,ads-pao-amznjs-gtm-template,Smarty
304,alexa-coho,JavaScript
305,alexa-skills-kit-js,
306,amazon-ads-advertiser-audience-normalization-sdk-py,Python
307,amazon-advertising-api-php-sdk,PHP
308,amazon-codeguru-profiler-for-spark,Java
309,amazon-frustration-free-setup-certification-tool,Python
310,amazon-hub-counter-api-docs,CSS
311,amazon-hub-counter-api-samples,Java
312,amazon-hub-counter-sdk-java,Java
313,amazon-hub-support,PowerShell
314,amazon-instant-access-sdk-java,Java
315,amazon-instant-access-sdk-net,C#
316,amazon-instant-access-sdk-php,PHP
317,amazon-instant-access-sdk-ruby,Ruby
318,amazon-launcher-integration-cordova-plugin,JavaScript
319,amazon-marketing-stream-examples,Python
320,amazon-mcf-plugin-for-magento-1,PHP
321,amazon-multi-token-completion,Python
322,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
323,amazon-pay-api-sdk-dotnet,C#
324,amazon-pay-api-sdk-java,Java
325,amazon-pay-api-sdk-nodejs,JavaScript
326,amazon-pay-api-sdk-php,PHP
327,amazon-pay-api-sdk-ruby,Ruby
328,amazon-pay-code-samples,PHP
329,amazon-pay-sdk-csharp,C#
330,.github,
331,ads-advanced-tools-docs,Jupyter Notebook
332,ads-pao-amznjs-gtm-server-side-template,Smarty
333,ads-pao-amznjs-gtm-template,Smarty
334,alexa-coho,JavaScript
335,alexa-skills-kit-js,
336,amazon-ads-advertiser-audience-normalization-sdk-py,Python
337,amazon-advertising-api-php-sdk,PHP
338,amazon-codeguru-profiler-for-spark,Java
339,amazon-frustration-free-setup-certification-tool,Python
340,amazon-hub-counter-api-docs,CSS
341,amazon-hub-counter-api-samples,Java
342,amazon-hub-counter-sdk-java,Java
343,amazon-hub-support,PowerShell
344,amazon-instant-access-sdk-java,Java
345,amazon-instant-access-sdk-net,C#
346,amazon-instant-access-sdk-php,PHP
347,amazon-instant-access-sdk-ruby,Ruby
348,amazon-launcher-integration-cordova-plugin,JavaScript
349,amazon-marketing-stream-examples,Python
350,amazon-mcf-plugin-for-magento-1,PHP
351,amazon-multi-token-completion,Python
352,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
353,amazon-pay-api-sdk-dotnet,C#
354,amazon-pay-api-sdk-java,Java
355,amazon-pay-api-sdk-nodejs,JavaScript
356,amazon-pay-api-sdk-php,PHP
357,amazon-pay-api-sdk-ruby,Ruby
358,amazon-pay-code-samples,PHP
359,amazon-pay-sdk-csharp,C#
360,.github,
361,ads-advanced-tools-docs,Jupyter Notebook
362,ads-pao-amznjs-gtm-server-side-template,Smarty
363,ads-pao-amznjs-gtm-template,Smarty
364,alexa-coho,JavaScript
365,alexa-skills-kit-js,
366,amazon-ads-advertiser-audience-normalization-sdk-py,Python
367,amazon-advertising-api-php-sdk,PHP
368,amazon-codeguru-profiler-for-spark,Java
369,amazon-frustration-free-setup-certification-tool,Python
370,amazon-hub-counter-api-docs,CSS
371,amazon-hub-counter-api-samples,Java
372,amazon-hub-counter-sdk-java,Java
373,amazon-hub-support,PowerShell
374,amazon-instant-access-sdk-java,Java
375,amazon-instant-access-sdk-net,C#
376,amazon-instant-access-sdk-php,PHP
377,amazon-instant-access-sdk-ruby,Ruby
378,amazon-launcher-integration-cordova-plugin,JavaScript
379,amazon-marketing-stream-examples,Python
380,amazon-mcf-plugin-for-magento-1,PHP
381,amazon-multi-token-completion,Python
382,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
383,amazon-pay-api-sdk-dotnet,C#
384,amazon-pay-api-sdk-java,Java
385,amazon-pay-api-sdk-nodejs,JavaScript
386,amazon-pay-api-sdk-php,PHP
387,amazon-pay-api-sdk-ruby,Ruby
388,amazon-pay-code-samples,PHP
389,amazon-pay-sdk-csharp,C#
390,.github,
391,ads-advanced-tools-docs,Jupyter Notebook
392,ads-pao-amznjs-gtm-server-side-template,Smarty
393,ads-pao-amznjs-gtm-template,Smarty
394,alexa-coho,JavaScript
395,alexa-skills-kit-js,
396,amazon-ads-advertiser-audience-normalization-sdk-py,Python
397,amazon-advertising-api-php-sdk,PHP
398,amazon-codeguru-profiler-for-spark,Java
399,amazon-frustration-free-setup-certification-tool,Python
400,amazon-hub-counter-api-docs,CSS
401,amazon-hub-counter-api-samples,Java
402,amazon-hub-counter-sdk-java,Java
403,amazon-hub-support,PowerShell
404,amazon-instant-access-sdk-java,Java
405,amazon-instant-access-sdk-net,C#
406,amazon-instant-access-sdk-php,PHP
407,amazon-instant-access-sdk-ruby,Ruby
408,amazon-launcher-integration-cordova-plugin,JavaScript
409,amazon-marketing-stream-examples,Python
410,amazon-mcf-plugin-for-magento-1,PHP
411,amazon-multi-token-completion,Python
412,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
413,amazon-pay-api-sdk-dotnet,C#
414,amazon-pay-api-sdk-java,Java
415,amazon-pay-api-sdk-nodejs,JavaScript
416,amazon-pay-api-sdk-php,PHP
417,amazon-pay-api-sdk-ruby,Ruby
418,amazon-pay-code-samples,PHP
419,amazon-pay-sdk-csharp,C#
420,.github,
421,ads-advanced-tools-docs,Jupyter Notebook
422,ads-pao-amznjs-gtm-server-side-template,Smarty
423,ads-pao-amznjs-gtm-template,Smarty
424,alexa-coho,JavaScript
425,alexa-skills-kit-js,
426,amazon-ads-advertiser-audience-normalization-sdk-py,Python
427,amazon-advertising-api-php-sdk,PHP
428,amazon-codeguru-profiler-for-spark,Java
429,amazon-frustration-free-setup-certification-tool,Python
430,amazon-hub-counter-api-docs,CSS
431,amazon-hub-counter-api-samples,Java
432,amazon-hub-counter-sdk-java,Java
433,amazon-hub-support,PowerShell
434,amazon-instant-access-sdk-java,Java
435,amazon-instant-access-sdk-net,C#
436,amazon-instant-access-sdk-php,PHP
437,amazon-instant-access-sdk-ruby,Ruby
438,amazon-launcher-integration-cordova-plugin,JavaScript
439,amazon-marketing-stream-examples,Python
440,amazon-mcf-plugin-for-magento-1,PHP
441,amazon-multi-token-completion,Python
442,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
443,amazon-pay-api-sdk-dotnet,C#
444,amazon-pay-api-sdk-java,Java
445,amazon-pay-api-sdk-nodejs,JavaScript
446,amazon-pay-api-sdk-php,PHP
447,amazon-pay-api-sdk-ruby,Ruby
448,amazon-pay-code-samples,PHP
449,amazon-pay-sdk-csharp,C#
450,.github,
451,ads-advanced-tools-docs,Jupyter Notebook
452,ads-pao-amznjs-gtm-server-side-template,Smarty
453,ads-pao-amznjs-gtm-template,Smarty
454,alexa-coho,JavaScript
455,alexa-skills-kit-js,
456,amazon-ads-advertiser-audience-normalization-sdk-py,Python
457,amazon-advertising-api-php-sdk,PHP
458,amazon-codeguru-profiler-for-spark,Java
459,amazon-frustration-free-setup-certification-tool,Python
460,amazon-hub-counter-api-docs,CSS
461,amazon-hub-counter-api-samples,Java
462,amazon-hub-counter-sdk-java,Java
463,amazon-hub-support,PowerShell
464,amazon-instant-access-sdk-java,Java
465,amazon-instant-access-sdk-net,C#
466,amazon-instant-access-sdk-php,PHP
467,amazon-instant-access-sdk-ruby,Ruby
468,amazon-launcher-integration-cordova-plugin,JavaScript
469,amazon-marketing-stream-examples,Python
470,amazon-mcf-plugin-for-magento-1,PHP
471,amazon-multi-token-completion,Python
472,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
473,amazon-pay-api-sdk-dotnet,C#
474,amazon-pay-api-sdk-java,Java
475,amazon-pay-api-sdk-nodejs,JavaScript
476,amazon-pay-api-sdk-php,PHP
477,amazon-pay-api-sdk-ruby,Ruby
478,amazon-pay-code-samples,PHP
479,amazon-pay-sdk-csharp,C#
480,.github,
481,ads-advanced-tools-docs,Jupyter Notebook
482,ads-pao-amznjs-gtm-server-side-template,Smarty
483,ads-pao-amznjs-gtm-template,Smarty
484,alexa-coho,JavaScript
485,alexa-skills-kit-js,
486,amazon-ads-advertiser-audience-normalization-sdk-py,Python
487,amazon-advertising-api-php-sdk,PHP
488,amazon-codeguru-profiler-for-spark,Java
489,amazon-frustration-free-setup-certification-tool,Python
490,amazon-hub-counter-api-docs,CSS
491,amazon-hub-counter-api-samples,Java
492,amazon-hub-counter-sdk-java,Java
493,amazon-hub-support,PowerShell
494,amazon-instant-access-sdk-java,Java
495,amazon-instant-access-sdk-net,C#
496,amazon-instant-access-sdk-php,PHP
497,amazon-instant-access-sdk-ruby,Ruby
498,amazon-launcher-integration-cordova-plugin,JavaScript
499,amazon-marketing-stream-examples,Python
500,amazon-mcf-plugin-for-magento-1,PHP
501,amazon-multi-token-completion,Python
502,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
503,amazon-pay-api-sdk-dotnet,C#
504,amazon-pay-api-sdk-java,Java
505,amazon-pay-api-sdk-nodejs,JavaScript
506,amazon-pay-api-sdk-php,PHP
507,amazon-pay-api-sdk-ruby,Ruby
508,amazon-pay-code-samples,PHP
509,amazon-pay-sdk-csharp,C#
510,.github,
511,ads-advanced-tools-docs,Jupyter Notebook
512,ads-pao-amznjs-gtm-server-side-template,Smarty
513,ads-pao-amznjs-gtm-template,Smarty
514,alexa-coho,JavaScript
515,alexa-skills-kit-js,
516,amazon-ads-advertiser-audience-normalization-sdk-py,Python
517,amazon-advertising-api-php-sdk,PHP
518,amazon-codeguru-profiler-for-spark,Java
519,amazon-frustration-free-setup-certification-tool,Python
520,amazon-hub-counter-api-docs,CSS
521,amazon-hub-counter-api-samples,Java
522,amazon-hub-counter-sdk-java,Java
523,amazon-hub-support,PowerShell
524,amazon-instant-access-sdk-java,Java
525,amazon-instant-access-sdk-net,C#
526,amazon-instant-access-sdk-php,PHP
527,amazon-instant-access-sdk-ruby,Ruby
528,amazon-launcher-integration-cordova-plugin,JavaScript
529,amazon-marketing-stream-examples,Python
530,amazon-mcf-plugin-for-magento-1,PHP
531,amazon-multi-token-completion,Python
532,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
533,amazon-pay-api-sdk-dotnet,C#
534,amazon-pay-api-sdk-java,Java
535,amazon-pay-api-sdk-nodejs,JavaScript
536,amazon-pay-api-sdk-php,PHP
537,amazon-pay-api-sdk-ruby,Ruby
538,amazon-pay-code-samples,PHP
539,amazon-pay-sdk-csharp,C#
540,.github,
541,ads-advanced-tools-docs,Jupyter Notebook
542,ads-pao-amznjs-gtm-server-side-template,Smarty
543,ads-pao-amznjs-gtm-template,Smarty
544,alexa-coho,JavaScript
545,alexa-skills-kit-js,
546,amazon-ads-advertiser-audience-normalization-sdk-py,Python
547,amazon-advertising-api-php-sdk,PHP
548,amazon-codeguru-profiler-for-spark,Java
549,amazon-frustration-free-setup-certification-tool,Python
550,amazon-hub-counter-api-docs,CSS
551,amazon-hub-counter-api-samples,Java
552,amazon-hub-counter-sdk-java,Java
553,amazon-hub-support,PowerShell
554,amazon-instant-access-sdk-java,Java
555,amazon-instant-access-sdk-net,C#
556,amazon-instant-access-sdk-php,PHP
557,amazon-instant-access-sdk-ruby,Ruby
558,amazon-launcher-integration-cordova-plugin,JavaScript
559,amazon-marketing-stream-examples,Python
560,amazon-mcf-plugin-for-magento-1,PHP
561,amazon-multi-token-completion,Python
562,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
563,amazon-pay-api-sdk-dotnet,C#
564,amazon-pay-api-sdk-java,Java
565,amazon-pay-api-sdk-nodejs,JavaScript
566,amazon-pay-api-sdk-php,PHP
567,amazon-pay-api-sdk-ruby,Ruby
568,amazon-pay-code-samples,PHP
569,amazon-pay-sdk-csharp,C#
